DeployID,Ptt,0-30,30-60,60-90,90-120,120-300,300-600,600-1200,1200-1800,1800-2700,2700-3600,3600-5400,5400-7200,7200-10800,>10800
42600,42600,3,0,0,0,0,0,0,0,0,0,2,0,0,0
42600,42600,7,0,0,0,0,0,0,0,0,1,1,0,0,0
42600,42600,11,0,0,0,0,1,0,0,0,1,0,1,1,0
42600,42600,5,0,0,0,0,0,0,0,1,0,0,0,0,1
42600,42600,44,1,0,1,0,0,2,0,0,1,0,1,0,0
42600,42600,63,0,1,1,2,0,1,0,0,0,0,0,1,0
42600,42600,63,0,0,0,0,0,0,0,0,0,0,1,0,0
42600,42600,5,1,0,0,0,0,0,1,0,0,0,1,1,0
42600,42600,6,1,0,0,0,0,0,0,0,0,0,1,1,0
42600,42600,9,0,1,0,0,0,0,1,0,0,0,0,1,0
42600,42600,10,0,0,0,1,0,0,0,2,0,0,0,1,0
42600,42600,7,1,0,0,1,0,0,1,1,1,1,0,1,0
42600,42600,9,3,0,0,1,2,2,0,2,2,0,0,0,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,2,0
42600,42600,4,0,0,0,0,0,0,0,0,0,0,0,1,0
42600,42600,73,6,1,0,0,1,0,0,0,0,0,0,0,0
42600,42600,14,1,0,0,0,0,0,0,0,0,0,2,0,0
42600,42600,11,1,0,1,1,2,0,2,1,0,1,0,0,0
42600,42600,6,0,0,0,0,0,0,0,0,0,0,0,1,0
42600,42600,2,0,0,1,0,1,3,0,0,0,0,0,1,0
42600,42600,6,0,0,0,0,0,0,1,0,1,0,0,1,0
42600,42600,9,0,0,1,1,1,0,1,2,0,1,0,0,0
42600,42600,6,0,1,0,1,0,3,1,1,1,1,0,0,0
42600,42600,5,0,0,1,4,3,5,2,0,1,0,0,0,0
42600,42600,2,0,0,1,3,0,3,0,3,0,1,0,0,0
42600,42600,6,0,0,0,0,1,0,0,1,1,1,1,0,0
42600,42600,4,0,0,0,0,1,4,0,1,0,0,0,1,0
42600,42600,0,0,1,0,1,4,1,3,2,0,0,0,0,0
42600,42600,1,0,1,0,0,1,3,2,1,1,1,0,0,0
42600,42600,0,0,0,0,2,0,1,0,1,0,0,0,1,0
42600,42600,5,0,0,0,0,0,0,0,0,0,0,0,2,0
42600,42600,4,0,0,0,0,0,0,0,0,0,0,1,0,1
42600,42600,2,0,0,0,1,3,0,0,0,0,3,0,0,0
42600,42600,1,0,0,0,0,0,0,0,0,0,1,2,0,0
42600,42600,2,0,0,0,0,0,0,0,0,1,0,2,0,0
42600,42600,3,0,0,0,0,0,0,0,0,0,1,1,0,1
42600,42600,3,0,0,0,0,0,0,0,1,3,0,0,1,0
42600,42600,2,0,0,0,0,1,0,0,0,3,1,0,0,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42600,42600,0,0,0,0,0,0,1,1,0,1,0,0,1,0
42600,42600,3,0,0,0,0,0,1,0,1,4,0,0,0,0
42600,42600,3,0,0,0,0,0,0,0,0,0,3,0,0,0
42600,42600,3,0,0,0,0,0,0,0,0,0,0,2,0,0
42600,42600,3,0,0,0,0,0,0,0,1,0,3,0,0,0
42600,42600,3,0,0,0,0,3,2,1,1,0,1,1,0,0
42600,42600,0,0,0,0,0,2,1,1,1,1,1,1,0,0
42600,42600,0,0,0,0,3,2,1,1,3,0,1,0,0,0
42600,42600,0,0,0,0,0,0,1,0,2,2,0,0,0,0
42600,42600,0,0,0,0,1,0,1,2,1,1,0,0,0,0
42600,42600,0,0,0,0,0,0,0,1,0,1,1,0,1,0
42600,42600,0,0,0,0,0,0,0,1,2,0,1,1,0,0
42600,42600,0,0,0,0,0,0,0,0,0,0,0,0,1,0
42600,42600,2,0,0,0,2,2,4,0,2,0,1,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,9,3,0,0,0,0,1,4,0,1,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,1,0,0,1
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,3,0,0,0,0,0,3,1,0,1,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,7,0,0,0,0,2,1,3,3,0,0,0,0,0
42601,42601,8,0,0,0,0,0,3,5,2,0,0,0,0,0
42601,42601,3,0,0,0,0,0,2,2,2,0,0,0,0,0
42601,42601,7,0,0,0,0,0,0,1,3,0,1,0,0,0
42601,42601,0,1,0,1,1,0,1,0,0,0,3,0,0,0
42601,42601,0,0,0,0,0,0,0,0,1,0,1,0,1,0
42601,42601,0,0,0,0,0,0,0,0,0,1,0,0,0,1
42601,42601,0,0,0,0,1,0,0,0,0,0,0,0,0,1
42601,42601,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42601,42601,0,0,0,0,1,2,0,0,0,1,0,0,0,0
42601,42601,1,0,0,0,0,0,0,1,0,0,0,0,1,0
42601,42601,0,0,0,0,0,0,1,2,2,1,0,0,0,0
42601,42601,5,0,0,1,2,0,5,2,1,1,1,0,0,0
42601,42601,7,2,1,0,0,0,0,1,6,0,0,0,0,0
